ModelType,Symbol,Lags,BatchSize,Epoch,TP,TN,FP,Accuracy,Precision,Recall,FPR,TPR/FPR,F1
DNN1,^SPX,5,32,0,137,0,113,0.548,0.548,1.0,1.0,1.0,0.7080103359173127
DNN1,^SPX,5,32,10,137,0,113,0.548,0.548,1.0,1.0,1.0,0.7080103359173127
DNN1,^SPX,5,32,20,137,0,113,0.548,0.548,1.0,1.0,1.0,0.7080103359173127
DNN1,^SPX,5,32,30,137,0,113,0.548,0.548,1.0,1.0,1.0,0.7080103359173127
DNN1,^SPX,5,32,40,137,0,113,0.548,0.548,1.0,1.0,1.0,0.7080103359173127
DNN1,^SPX,5,32,50,137,0,113,0.548,0.548,1.0,1.0,1.0,0.7080103359173127
DNN1,^SPX,5,32,60,137,0,113,0.548,0.548,1.0,1.0,1.0,0.7080103359173127
DNN1,^SPX,5,32,70,137,0,113,0.548,0.548,1.0,1.0,1.0,0.7080103359173127
DNN1,^SPX,5,32,80,137,0,113,0.548,0.548,1.0,1.0,1.0,0.7080103359173127
DNN1,^SPX,5,32,90,137,0,113,0.548,0.548,1.0,1.0,1.0,0.7080103359173127
DNN1,^SPX,5,32,99,137,0,113,0.548,0.548,1.0,1.0,1.0,0.7080103359173127
DNN1,^SPX,10,32,0,137,0,113,0.548,0.548,1.0,1.0,1.0,0.7080103359173127
DNN1,^SPX,10,32,10,130,6,107,0.544,0.5485232067510548,0.948905109489051,0.9469026548672567,1.0021147417968483,0.6951871657754011
DNN1,^SPX,10,32,20,130,3,110,0.532,0.5416666666666666,0.948905109489051,0.9734513274336283,0.9747843397478434,0.6896551724137931
DNN1,^SPX,10,32,30,129,6,107,0.54,0.5466101694915254,0.9416058394160584,0.9469026548672567,0.9944061668599494,0.6916890080428955
DNN1,^SPX,10,32,40,128,6,107,0.536,0.5446808510638298,0.9343065693430657,0.9469026548672567,0.9866975919230506,0.6881720430107527
DNN1,^SPX,10,32,50,127,7,106,0.536,0.5450643776824035,0.927007299270073,0.9380530973451328,0.9882247624294174,0.6864864864864865
DNN1,^SPX,10,32,60,132,3,110,0.54,0.5454545454545454,0.9635036496350365,0.9734513274336283,0.9897810218978103,0.6965699208443271
DNN1,^SPX,10,32,70,128,10,103,0.552,0.5541125541125541,0.9343065693430657,0.911504424778761,1.025015945007441,0.6956521739130435
DNN1,^SPX,10,32,80,130,6,107,0.544,0.5485232067510548,0.948905109489051,0.9469026548672567,1.0021147417968483,0.6951871657754011
DNN1,^SPX,10,32,90,128,8,105,0.544,0.5493562231759657,0.9343065693430657,0.9292035398230089,1.005491831769204,0.6918918918918919
DNN1,^SPX,10,32,99,128,6,107,0.536,0.5446808510638298,0.9343065693430657,0.9469026548672567,0.9866975919230506,0.6881720430107527
DNN1,^SPX,20,32,0,137,0,113,0.548,0.548,1.0,1.0,1.0,0.7080103359173127
DNN1,^SPX,20,32,10,128,7,106,0.54,0.5470085470085471,0.9343065693430657,0.9380530973451328,0.9960060597713813,0.6900269541778976
DNN1,^SPX,20,32,20,126,9,104,0.54,0.5478260869565217,0.9197080291970803,0.9203539823008849,0.9992981471083661,0.6866485013623979
DNN1,^SPX,20,32,30,125,11,102,0.544,0.5506607929515418,0.9124087591240876,0.9026548672566371,1.0108057821668814,0.6868131868131868
DNN1,^SPX,20,32,40,128,10,103,0.552,0.5541125541125541,0.9343065693430657,0.911504424778761,1.025015945007441,0.6956521739130435
DNN1,^SPX,20,32,50,124,10,103,0.536,0.5462555066079295,0.9051094890510949,0.911504424778761,0.9929841967259585,0.6813186813186813
DNN1,^SPX,20,32,60,126,10,103,0.544,0.5502183406113537,0.9197080291970803,0.911504424778761,1.0090000708666997,0.6885245901639343
DNN1,^SPX,20,32,70,127,11,102,0.552,0.5545851528384279,0.927007299270073,0.9026548672566371,1.0269786746815515,0.6939890710382514
DNN1,^SPX,20,32,80,129,10,103,0.556,0.5560344827586207,0.9416058394160584,0.911504424778761,1.0330238820778117,0.6991869918699186
DNN1,^SPX,20,32,90,124,12,101,0.544,0.5511111111111111,0.9051094890510949,0.8938053097345132,1.0126472501264725,0.6850828729281768
DNN1,^SPX,20,32,99,123,13,100,0.544,0.5515695067264574,0.8978102189781022,0.8849557522123894,1.0145255474452555,0.6833333333333335
DNN1,^DAX,5,32,0,131,4,111,0.5294117647058824,0.5413223140495868,0.9357142857142857,0.9652173913043478,0.9694337194337195,0.6858638743455497
DNN1,^DAX,5,32,10,131,4,111,0.5294117647058824,0.5413223140495868,0.9357142857142857,0.9652173913043478,0.9694337194337195,0.6858638743455497
DNN1,^DAX,5,32,20,131,4,111,0.5294117647058824,0.5413223140495868,0.9357142857142857,0.9652173913043478,0.9694337194337195,0.6858638743455497
DNN1,^DAX,5,32,30,117,13,102,0.5098039215686274,0.5342465753424658,0.8357142857142857,0.8869565217391304,0.9422268907563026,0.6518105849582173
DNN1,^DAX,5,32,40,131,4,111,0.5294117647058824,0.5413223140495868,0.9357142857142857,0.9652173913043478,0.9694337194337195,0.6858638743455497
DNN1,^DAX,5,32,50,117,13,102,0.5098039215686274,0.5342465753424658,0.8357142857142857,0.8869565217391304,0.9422268907563026,0.6518105849582173
DNN1,^DAX,5,32,60,117,13,102,0.5098039215686274,0.5342465753424658,0.8357142857142857,0.8869565217391304,0.9422268907563026,0.6518105849582173
DNN1,^DAX,5,32,70,140,0,115,0.5490196078431373,0.5490196078431373,1.0,1.0,1.0,0.7088607594936709
DNN1,^DAX,5,32,80,124,8,107,0.5176470588235295,0.5367965367965368,0.8857142857142857,0.9304347826086956,0.951935914552737,0.6684636118598383
DNN1,^DAX,5,32,90,131,4,111,0.5294117647058824,0.5413223140495868,0.9357142857142857,0.9652173913043478,0.9694337194337195,0.6858638743455497
DNN1,^DAX,5,32,99,124,8,107,0.5176470588235295,0.5367965367965368,0.8857142857142857,0.9304347826086956,0.951935914552737,0.6684636118598383
DNN1,^DAX,10,32,0,124,12,103,0.5333333333333333,0.5462555066079295,0.8857142857142857,0.8956521739130435,0.9889042995839111,0.6757493188010899
DNN1,^DAX,10,32,10,107,22,93,0.5058823529411764,0.535,0.7642857142857142,0.808695652173913,0.945084485407066,0.6294117647058822
DNN1,^DAX,10,32,20,108,23,92,0.5137254901960784,0.54,0.7714285714285715,0.8,0.9642857142857143,0.6352941176470589
DNN1,^DAX,10,32,30,107,20,95,0.4980392156862745,0.5297029702970297,0.7642857142857142,0.8260869565217391,0.925187969924812,0.6257309941520468
DNN1,^DAX,10,32,40,111,20,95,0.5137254901960784,0.5388349514563107,0.7928571428571428,0.8260869565217391,0.9597744360902255,0.6416184971098267
DNN1,^DAX,10,32,50,109,23,92,0.5176470588235295,0.5422885572139303,0.7785714285714286,0.8,0.9732142857142857,0.6392961876832844
DNN1,^DAX,10,32,60,112,16,99,0.5019607843137255,0.5308056872037915,0.8,0.8608695652173913,0.9292929292929293,0.6381766381766383
DNN1,^DAX,10,32,70,109,22,93,0.5137254901960784,0.5396039603960396,0.7785714285714286,0.808695652173913,0.9627496159754224,0.6374269005847955
DNN1,^DAX,10,32,80,110,22,93,0.5176470588235295,0.541871921182266,0.7857142857142857,0.808695652173913,0.9715821812596006,0.6413994169096211
DNN1,^DAX,10,32,90,112,18,97,0.5098039215686274,0.5358851674641149,0.8,0.8434782608695652,0.9484536082474228,0.6418338108882523
DNN1,^DAX,10,32,99,109,20,95,0.5058823529411764,0.5343137254901961,0.7785714285714286,0.8260869565217391,0.9424812030075188,0.6337209302325582
DNN1,^DAX,20,32,0,133,12,103,0.5686274509803921,0.5635593220338984,0.95,0.8956521739130435,1.0606796116504853,0.7074468085106382
DNN1,^DAX,20,32,10,95,32,83,0.4980392156862745,0.5337078651685393,0.6785714285714286,0.7217391304347827,0.9401893287435455,0.5974842767295596
DNN1,^DAX,20,32,20,103,29,86,0.5176470588235295,0.544973544973545,0.7357142857142858,0.7478260869565218,0.9838039867109635,0.6261398176291794
