ModelType,Symbol,Lags,BatchSize,Epoch,MSE,MAPE,R
DNN1,^SPX,5,32,0,0.0019145902479067445,4.570568561553955,0.9655478438831546
DNN1,^SPX,5,32,10,0.0003125765360891819,1.6880733966827393,0.9748689789771061
DNN1,^SPX,5,32,20,0.00042082800064235926,1.9890642166137695,0.9754110996474039
DNN1,^SPX,5,32,30,0.00028807701892219484,1.5814207792282104,0.977649000030534
DNN1,^SPX,5,32,40,0.0016284040175378323,4.275622844696045,0.9784525723812925
DNN1,^SPX,5,32,50,0.0001605803845450282,1.1857197284698486,0.9795544535990768
DNN1,^SPX,5,32,60,0.00017188176570925862,1.248041033744812,0.9794232651082493
DNN1,^SPX,5,32,70,0.0015617029275745153,4.138370037078857,0.9794684942268432
DNN1,^SPX,5,32,80,0.00047706248005852103,2.1293773651123047,0.9796872359151569
DNN1,^SPX,5,32,90,0.00035848142579197884,1.8684288263320923,0.9799073416213789
DNN1,^SPX,5,32,99,0.0010485248640179634,3.3224496841430664,0.9801639053151866
DNN1,^SPX,10,32,0,0.0012845001183450222,3.2031497955322266,0.9552036257148181
DNN1,^SPX,10,32,10,0.0003433885576669127,1.6946402788162231,0.9606846822347072
DNN1,^SPX,10,32,20,0.000512923114001751,2.1838228702545166,0.9643244365713168
DNN1,^SPX,10,32,30,0.00032345528597943485,1.7240067720413208,0.9675495210975795
DNN1,^SPX,10,32,40,0.0009610038250684738,3.2121567726135254,0.9705257628067778
DNN1,^SPX,10,32,50,0.000418805459048599,1.9145574569702148,0.9718547775550991
DNN1,^SPX,10,32,60,0.0009439603891223669,3.0642735958099365,0.9740251061690955
DNN1,^SPX,10,32,70,0.0005774492165073752,2.4045865535736084,0.9749910622556045
DNN1,^SPX,10,32,80,0.0003451216034591198,1.831682562828064,0.9766723216579661
DNN1,^SPX,10,32,90,0.0006715687341056764,2.6567845344543457,0.9778147126417287
DNN1,^SPX,10,32,99,0.0008748454274609685,3.119398593902588,0.9785299114122101
DNN1,^SPX,20,32,0,0.0009710955200716853,2.9230575561523438,0.8994326950054551
DNN1,^SPX,20,32,10,0.0008685793727636337,2.75600528717041,0.9480873325893562
DNN1,^SPX,20,32,20,0.0015860063722357154,4.1164679527282715,0.959930295581066
DNN1,^SPX,20,32,30,0.0006452178931795061,2.4238483905792236,0.963707158202987
DNN1,^SPX,20,32,40,0.001610837411135435,4.351371765136719,0.9731018016797767
DNN1,^SPX,20,32,50,0.0002447793958708644,1.4990050792694092,0.9749703100401904
DNN1,^SPX,20,32,60,0.0011956827947869897,3.695206642150879,0.9745123057133156
DNN1,^SPX,20,32,70,0.00021194016153458506,1.3525092601776123,0.9757693846140597
DNN1,^SPX,20,32,80,0.0003019194700755179,1.6779372692108154,0.9750887024358492
DNN1,^SPX,20,32,90,0.00026938217342831194,1.5038706064224243,0.9761731009964653
DNN1,^SPX,20,32,99,0.00028781703440472484,1.5738509893417358,0.9774599281609533
DNN2,^SPX,5,32,0,0.0032903780229389668,6.317119121551514,0.9687825677139095
DNN2,^SPX,5,32,10,0.001379827386699617,4.027813911437988,0.9730806123695663
DNN2,^SPX,5,32,20,0.00021997405565343797,1.380149483680725,0.9747578714211979
DNN2,^SPX,5,32,30,0.0006709197186864913,2.646383762359619,0.9758930316800828
DNN2,^SPX,5,32,40,0.0002690721885301173,1.5220767259597778,0.9775390334719928
DNN2,^SPX,5,32,50,0.00045168600627221167,2.124194383621216,0.9786003102844268
DNN2,^SPX,5,32,60,0.00016200923710130155,1.2061911821365356,0.9795155830066136
DNN2,^SPX,5,32,70,0.0002625563647598028,1.51279878616333,0.9799253913686454
DNN2,^SPX,5,32,80,0.0001506656699348241,1.1640310287475586,0.9807221248955404
DNN2,^SPX,5,32,90,0.001003936631605029,3.4118785858154297,0.981288067100522
DNN2,^SPX,5,32,99,0.0008066031732596457,2.9177751541137695,0.9818092257796955
DNN2,^SPX,10,32,0,0.0004960732185281813,2.15879225730896,0.9645467061139417
DNN2,^SPX,10,32,10,0.00038577395025640726,1.8017388582229614,0.9647629727091529
DNN2,^SPX,10,32,20,0.0006968941306695342,2.6134400367736816,0.9693115514115153
DNN2,^SPX,10,32,30,0.0003259946242906153,1.7569754123687744,0.971062190687223
DNN2,^SPX,10,32,40,0.0002122903533745557,1.3797516822814941,0.9743616998351603
DNN2,^SPX,10,32,50,0.0002594424004200846,1.5627655982971191,0.977743019424524
DNN2,^SPX,10,32,60,0.0006314594065770507,2.5352532863616943,0.9783025226240462
DNN2,^SPX,10,32,70,0.0058184098452329636,8.76801872253418,0.9811636434893339
DNN2,^SPX,10,32,80,0.00023444861290045083,1.4010833501815796,0.9794234133504118
DNN2,^SPX,10,32,90,0.0003491050738375634,1.830174446105957,0.980776920733783
DNN2,^SPX,10,32,99,0.0007623175042681396,2.8647053241729736,0.9807058989242831
DNN2,^SPX,20,32,0,0.0035468311980366707,6.480231761932373,0.9432028897365033
DNN2,^SPX,20,32,10,0.000534237886313349,2.2916007041931152,0.9510259296376149
DNN2,^SPX,20,32,20,0.0018307296559214592,4.576914310455322,0.9638516867354762
DNN2,^SPX,20,32,30,0.0015561667969450355,4.169751167297363,0.967462792353504
DNN2,^SPX,20,32,40,0.0025901775807142258,5.6699628829956055,0.9741080108410469
DNN2,^SPX,20,32,50,0.0024523334577679634,5.5512003898620605,0.9722106317647745
DNN2,^SPX,20,32,60,0.0002801164228003472,1.5697555541992188,0.9718930729186837
DNN2,^SPX,20,32,70,0.0005388598656281829,2.2686915397644043,0.9740641919168417
DNN2,^SPX,20,32,80,0.0002936639357358217,1.6105949878692627,0.9729125881031666
DNN2,^SPX,20,32,90,0.00035866210237145424,1.8730263710021973,0.9790065963504428
DNN2,^SPX,20,32,99,0.0010904463706538081,3.556347370147705,0.9798965874452789
DNN3,^SPX,5,32,0,0.001398567110300064,3.47137451171875,0.9775906056088999
DNN3,^SPX,5,32,10,0.00018194701988250017,1.2754355669021606,0.9768862628706121
DNN3,^SPX,5,32,20,0.0001719129941193387,1.2240816354751587,0.9780843240640715
DNN3,^SPX,5,32,30,0.001122686662711203,3.549312114715576,0.9789395646001737
DNN3,^SPX,5,32,40,0.00015702511882409453,1.1689562797546387,0.9801159728780008
DNN3,^SPX,5,32,50,0.00033466325839981437,1.7579009532928467,0.9808578918794577
DNN3,^SPX,5,32,60,0.0001696467661531642,1.1972498893737793,0.9817089612041496
DNN3,^SPX,5,32,70,0.0011006336426362395,3.636781930923462,0.9823080324762321
DNN3,^SPX,5,32,80,0.00014641662710346282,1.1643290519714355,0.9826531510054815
DNN3,^SPX,5,32,90,0.0007235967204906046,2.769838571548462,0.9830930443719874
DNN3,^SPX,5,32,99,0.00023322751803789288,1.4187133312225342,0.9833246096683669
DNN3,^SPX,10,32,0,0.004199268762022257,6.717972278594971,0.9537327836891446
DNN3,^SPX,10,32,10,0.0004713411908596754,2.130173921585083,0.9583288317274399
DNN3,^SPX,10,32,20,0.00033039599657058716,1.701087474822998,0.9624772912450202
DNN3,^SPX,10,32,30,0.0008881184039637446,3.0420637130737305,0.9649639692052322
DNN3,^SPX,10,32,40,0.00030121285817585886,1.6108300685882568,0.9680757701367863
DNN3,^SPX,10,32,50,0.0004760788579005748,2.0459508895874023,0.9699247312833863
DNN3,^SPX,10,32,60,0.0004162791883572936,1.8964372873306274,0.9719763681400434
DNN3,^SPX,10,32,70,0.0013270508497953415,3.8261630535125732,0.9741541912190119
DNN3,^SPX,10,32,80,0.0007183948182500899,2.7519454956054688,0.9755297693284449
DNN3,^SPX,10,32,90,0.00023729914391878992,1.4887340068817139,0.9772217280758699
DNN3,^SPX,10,32,99,0.0005489499308168888,2.364931106567383,0.9772910716918218
DNN3,^SPX,20,32,0,0.0008679041638970375,2.704317092895508,0.9444046197666199
DNN3,^SPX,20,32,10,0.004299148917198181,7.250481605529785,0.9525618148311703
DNN3,^SPX,20,32,20,0.00043550142436288297,2.0802745819091797,0.9639423762555227
DNN3,^SPX,20,32,30,0.0016935407184064388,4.330848693847656,0.9695079292475729
DNN3,^SPX,20,32,40,0.00030642442288808525,1.5915954113006592,0.9689442001199053
DNN3,^SPX,20,32,50,0.0019368113717064261,4.854468822479248,0.974724780310541
DNN3,^SPX,20,32,60,0.0003543381462804973,1.7636911869049072,0.9730461026339126
DNN3,^SPX,20,32,70,0.0015915627591311932,4.368863105773926,0.9765737403757265
DNN3,^SPX,20,32,80,0.0006243662792257965,2.4515414237976074,0.975510046027056
DNN3,^SPX,20,32,90,0.00021107180509716272,1.3574095964431763,0.9787887454121145
DNN3,^SPX,20,32,99,0.00021162275515962392,1.408988356590271,0.9785149603708165
LSTM1,^SPX,5,32,0,0.008956966921687126,7.6966962814331055,0.3320123943000663
LSTM1,^SPX,5,32,10,0.01733160763978958,13.280975341796875,0.32986822659166826
LSTM1,^SPX,5,32,20,0.002832086756825447,3.94936466217041,0.6226754436890135
LSTM1,^SPX,5,32,30,0.0028921805787831545,4.8364434242248535,0.7917371736938901
LSTM1,^SPX,5,32,40,0.006836727261543274,9.111196517944336,0.7809410120351521
LSTM1,^SPX,5,32,50,0.013759205117821693,13.191601753234863,0.8893027518058013
LSTM1,^SPX,5,32,60,0.002399351680651307,3.029595136642456,0.6770076384823012
